label,component_1,component_2
questioner_full_r1,0.2595967468189044,0.13123959897758858
questioner_full_r2,0.03752512867497894,0.48008752448667236
questioner_full_r3,0.04599392366878179,0.5725466991029952
questioner_full_r4,0.047882999786753,0.5574991206058773
questioner_full_r5,0.015864291391318775,0.4271607226545916
solver_rank1_r1,0.6735959219369355,-0.01887035384236921
solver_rank1_r2,0.6289065198573583,-0.03516175287340826
solver_rank1_r3,0.6225077333312483,-0.05625802664515296
solver_rank1_r4,0.5867658409178569,-0.025911702912704067
solver_rank1_r5,0.5988163774587821,-0.04482194190195931
