id	score	topic	answer	problem_preview
0	0.666667	geometry	5	A right triangle has a hypotenuse of length 10 and one of its acute angles is twice the size of the other. What is the length of the shorter leg of the triangle?
1	0.333333	number_theory	1	In a small village, there are 20 houses, each with a unique number from 1 to 20. One day, the village decides to paint each house a color based on the sum of its house number's digits. If the sum is even, the house is painted blue; if odd,...
2	0.555556	geometry	96 - 25\pi	A circle with radius 5 cm is inscribed in a right-angled triangle with legs of lengths 12 cm and 16 cm. What is the area of the region inside the triangle but outside the circle? Express your answer in terms of \(\pi\).
3	0.555556	number_theory	3	Find the smallest positive integer \( n \) such that the polynomial \( P(x) = x^n + x^{n-1} + \cdots + x + 1 \) is divisible by the polynomial \( Q(x) = x^2 - x + 1 \).
4	0.666667	number_theory	1	** What is the smallest positive integer \( n \) such that \( 2^n + 3^n \) is divisible by 5?
5	0.333333	combinatorics	7560	How many distinct arrangements of the letters in the word "MATHEMATICS" are there such that all vowels (A, E, A, I) appear consecutively and the two 'M's are not next to each other?
6	0.777778	number_theory	1525	Let \( f \) be a function defined on the set of integers such that \( f(1) = 1 \) and for all integers \( n \geq 1 \), \[ f(n+1) = 2f(n) + n. \] Find the value of \( f(10) \).
7	0.666667	number_theory	16	Let \( S \) be the set of all positive integers \( n \) such that \( n \) can be expressed as the sum of two distinct positive integers, each of which is a product of two distinct primes. For example, \( 10 = 2 \times 3 + 1 \times 5 \). Fi...
8	0.333333	number_theory	13	Given the sequence \( a_1, a_2, a_3, \ldots \) defined by \( a_1 = 1 \) and \( a_{n+1} = a_n + \frac{1}{a_n} \) for \( n \geq 1 \), find the smallest integer \( k \) such that \( a_k > 5 \).
9	0.333333	geometry	\frac{1}{3}	In the complex plane, consider the points $A$, $B$, and $C$ representing the complex numbers $1+2i$, $-1+i$, and $2+3i$ respectively. Let $O$ be the origin. A complex number $z$ is chosen at random such that $|z| = 1$. Find the probability...
10	0.555556	number_theory	5	In a sequence of positive integers \(a_1, a_2, a_3, \ldots\), each term after the first is equal to twice the sum of all previous terms. Given that \(a_6 = 45\), find the value of \(a_4\).
